2022-05-13 15:04:49.870 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:04:52.282 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:04:55.794 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:04:57.368 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:05:01.067 | consumer.py 71 | WARNING | 已连接， Waiting for queue: [ queue_new_scan_server ]
2022-05-13 15:11:13.756 | consumer.py 95 | ERROR | 连接异常，重新连接：(320, "CONNECTION_FORCED - broker forced connection closure with reason 'shutdown'")
2022-05-13 15:11:16.384 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:11:18.008 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:11:22.519 | consumer.py 95 | ERROR | 连接异常，重新连接：StreamLostError: ('Transport indicated EOF',)
2022-05-13 15:11:25.752 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:29.271 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:33.291 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:35.889 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:38.313 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:39.599 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:44.367 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:48.056 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:52.333 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:55.654 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:57.955 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:11:58.975 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:02.415 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:05.318 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:06.704 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:10.243 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:12.306 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:16.413 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:20.767 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:24.381 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:28.722 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:30.049 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:34.700 | consumer.py 95 | ERROR | 连接异常，重新连接：
2022-05-13 15:12:38.818 | consumer.py 95 | ERROR | 连接异常，重新连接：
