2022-05-17 16:12:39.817 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:43.544 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:46.057 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:50.883 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:53.161 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:54.332 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:56.389 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:12:58.395 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:01.670 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:03.070 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:07.475 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:10.148 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:12.404 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:15.226 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:16.439 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:19.702 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:23.321 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:24.782 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:26.298 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:27.328 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:31.698 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:35.802 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:37.892 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:39.432 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:41.074 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:43.238 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:47.797 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:50.813 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:53.370 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:56.698 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:13:58.918 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:01.364 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:04.516 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:07.300 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:09.210 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:10.657 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:11.701 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:15.403 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:18.181 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:21.618 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:23.152 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:24.396 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:25.782 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:28.160 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:31.667 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:35.928 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:38.256 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:40.976 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:44.562 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:48.647 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:50.546 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:51.867 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:56.711 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:14:58.463 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:15:01.951 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:15:06.277 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:15:08.234 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:15:10.213 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:15:12.361 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
2022-05-17 16:15:13.537 | consumer_ts_server.py 93 | ERROR | 连接异常，重新连接：
