2022-05-31 17:32:45.228 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 17:33:55.602 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 17:33:55.626 | consumer1.py 54 | WARNING | Received '{"task_id": "371d84ef-35a6-4417-a8ed-b858cb81ab33", "status": 1, "msg": "nmap扫描完成", "data": {"scan_time": "2022-05-31 17:33:50", "target": "39.105.143.157", "assets": [], "assetinfo": {"http": [], "weakpass": [], "vul": []}}}'
2022-05-31 17:33:55.630 | consumer1.py 59 | WARNING | Saving to DB
2022-05-31 17:33:55.642 | consumer1.py 75 | WARNING | No such attack
2022-05-31 17:33:55.644 | consumer1.py 78 | WARNING | Saved to DB
2022-05-31 17:41:23.494 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:41:25.356 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:41:27.258 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:41:29.628 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 17:41:33.223 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 18:20:53.470 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 18:21:02.325 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 18:21:16.777 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 18:21:17.188 | consumer1.py 91 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 18:35:32.081 | consumer1.py 101 | INFO | consumer1 start
2022-05-31 18:35:32.330 | consumer1.py 91 | WARNING | 已连接， Waiting for queue: [ queue_scan_result ] routing_key: [ topic_scan_result ]
2022-05-31 18:46:03.816 | consumer1.py 52 | INFO | Received new message from - topic_scan_result
2022-05-31 18:46:03.847 | consumer1.py 54 | WARNING | Received '{"task_id": "6a4a40fa-47b8-4344-8644-dfd43b0ad00e", "status": 1, "msg": "扫描完成", "data": {"scan_time": "2022-05-31 18:45:59", "target": "114.238.190.79", "assets": [], "assetinfo": {"http": [], "weakpass": [], "vul": []}}, "finished": true}'
2022-05-31 18:46:03.850 | consumer1.py 59 | WARNING | Saving to DB
